time,seconds_elapsed,z,y,x
1684116017044506600,0.032506591796875,-0.9641139119803905,1.6217477996289729,1.8765011438548564
1684116017064635400,0.052635498046875,-1.483932735610008,2.5795319240659476,2.681127089190483
1684116017084764700,0.0727646484375,-2.997001549333334,2.4705834735691545,2.436376960323751
1684116017104892700,0.092892578125,-1.9100000933527945,2.2921926535338164,0.2411915596023202
1684116017125021700,0.113021728515625,-0.09599252281188965,2.664213363790512,-1.619763347813487
1684116017145150700,0.133150634765625,1.3034522498190402,3.4719320144444703,-4.061795557419956
1684116017165279700,0.15327978515625,1.0077677602678536,2.197252854645252,-2.49413765989691
1684116017185408500,0.173408447265625,0.5679132847130298,-1.2603724020272493,4.750323765026033
1684116017205536500,0.19353662109375,-0.07758359041810035,0.4961708215385675,9.46324806598425
1684116017225665500,0.21366552734375,0.265119839939475,2.710212313899398,6.883733677574992
1684116017245794600,0.233794677734375,0.4740694643676281,1.6046674854904412,5.0936844902485605
1684116017265923800,0.253923828125,0.7299673024535178,1.3548077585250138,0.18455548014491796
1684116017286052600,0.274052490234375,-0.08926935203671454,0.6533136863619089,-2.091999459274113
1684116017306180600,0.2941806640625,-1.3232172729969023,2.000522660320997,0.47453182118237014
1684116017326309600,0.3143095703125,-2.0901503242760895,3.56186304526031,3.021995413075387
1684116017346438700,0.334438720703125,-1.7874848897963762,3.1735996407330034,0.9233376649558543
1684116017366567700,0.354567626953125,-0.9196014010369777,2.418494974413514,-1.428271638664603
1684116017386696700,0.37469677734375,-0.7447282337337732,2.3558967716813086,-1.7375076837062835
1684116017406824700,0.39482470703125,-0.29686931542158124,3.477253501728177,-0.05924290095493197
1684116017426953500,0.414953369140625,0.9085849169820547,4.000523927116394,1.8363225704625248
1684116017447082500,0.43508251953125,1.8259774097979067,2.609651167997718,0.015745120012015102
1684116017467211800,0.455211669921875,3.0638977415204045,1.4864584546953439,-2.5214362934499976
1684116017487340800,0.4753408203125,3.675219375327229,1.9640590157985687,-2.9526693633928893
1684116017507468800,0.49546875,3.037804099842906,3.14357976552248,-1.0739828383229673
1684116017527597600,0.51559765625,1.9179712183624504,2.4068840315967797,0.35745880867987867
1684116017547726600,0.5357265625,2.8610826743245124,1.8003502165883778,-0.9797530873998999
1684116017567855600,0.555855712890625,3.9132325971543787,2.066615719431639,-1.7499509856939315
1684116017587984600,0.575984619140625,2.498742815604806,1.364710728380084,-2.082284705467522
1684116017608112600,0.596112548828125,0.48056759421527384,0.5768050316989421,-4.715006952451169
1684116017628241700,0.61624169921875,-0.4259796794593334,-0.2258995901852846,-5.763642437419295
1684116017648370400,0.636370361328125,0.7710533460795879,-1.1616729583442211,-4.480384834367037
1684116017668499700,0.656499755859375,0.2580512167274952,-2.8642881923675536,-5.514475953415036
1684116017688628700,0.676628662109375,-1.3530349036335945,-3.0590736823648212,-8.807027552264929
1684116017708756700,0.6967568359375,-2.793718864625692,-4.852050155314803,-12.103227152228355
1684116017728885800,0.7168857421875,-4.268039137759804,-2.9919623861223457,-8.07650144688487
1684116017749014500,0.7370146484375,-6.512798424467444,-1.8080115449965,-9.749427060565353
1684116017769143600,0.7571435546875,-7.941590872135758,-1.7176976523429155,-11.26243566853404
1684116017789272600,0.7772724609375,-6.0978743920296425,-1.4956892243772744,-11.638118408429621
1684116017809400600,0.797400634765625,-3.2433319331288337,-0.7153326279014348,-8.040294991993903
1684116017829529600,0.817529541015625,-4.034891476142406,0.4344283588528633,-6.2772898789376015
1684116017849658600,0.83765869140625,-4.564494611683488,2.206944812098145,-6.123228028994799
1684116017869787600,0.85778759765625,-2.786031232732534,3.543375202411413,-7.95850225944817
1684116017889916700,0.877916748046875,-2.4584569824457168,4.445362036302686,-8.748297130876779
1684116017910044700,0.898044677734375,-2.284468781283498,4.621208432552218,-9.462227490764855
1684116017930173700,0.918173583984375,-1.2169383339703082,5.964821427845955,-5.221786554026603
1684116017950303500,0.938303466796875,0.10008534508347511,6.356171692472696,-3.916105522242188
1684116017970432500,0.9584326171875,2.489695293535292,6.145706402784586,-1.7699477718010543
1684116017990560500,0.978560546875,4.445202754087746,7.952410372313857,0.28226050596311686
1684116018010689500,0.998689453125,2.0897101792931556,10.020568645012379,0.39380788691192864
1684116018030818600,1.018818603515625,-0.9169915107995271,8.74831232844591,1.5708865041807294
1684116018050947300,1.038947265625,-0.27911709337085483,7.73196027970612,2.878341852161288
1684116018071076400,1.059076416015625,1.5179782130748032,8.24052647243738,3.920945071227848
1684116018091204400,1.079204345703125,0.6116390291929245,8.471648181185126,4.265315850275755
1684116018111333600,1.099333740234375,-1.6207807081624865,8.21333860578239,3.068168258446455
1684116018131462700,1.119462646484375,-3.1478827234134075,7.989999805995821,3.0600863665387035
1684116018151591400,1.13959130859375,-1.1580948075965045,5.640067495676875,1.8775941997885703
1684116018171720400,1.159720458984375,0.65505526933223,5.058304549309611,2.7416338726013896
1684116018191848400,1.179848388671875,0.20137948143482207,7.2106900882244105,5.557766229087114
1684116018211977500,1.1999775390625,-1.264160980655253,7.756631779626011,5.385968231445551
1684116018232106500,1.2201064453125,-1.9567846408814191,4.368629509755968,0.465527845993638
1684116018252235500,1.240235595703125,-1.6854244452476501,2.015467131474614,-0.6574044628068805
1684116018272364300,1.2603642578125,-1.375680450683832,3.4369811125725507,1.9107254850178956
1684116018292492300,1.2804921875,-1.6387667389690874,4.667305582338571,4.150832854266464
1684116018312621600,1.30062158203125,-1.402251062223315,4.295626817387342,4.5046661659255625
1684116018332750600,1.32075048828125,-0.2314151387363672,2.0027952814280985,3.7649800180122255
