time,seconds_elapsed,z,y,x
1682097021921478400,0.026478515625,-0.18907763374447822,-1.71769852912575,-0.6567495060294866
1682097021941607400,0.046607421875,-0.9049953680574894,-1.107435172200203,0.22615268816351888
1682097021961736700,0.06673681640625,-2.1564292613476512,-0.7763362549185753,1.4029717777132986
1682097021981865700,0.08686572265625,-2.163586147364974,-0.8389367957383393,1.5218050778865813
1682097022001994500,0.106994384765625,-1.197749649375677,-0.6088640115216374,1.0977940681517124
1682097022022123500,0.12712353515625,-0.2671387785464525,-0.3938867973670363,1.3502297830849885
1682097022042251800,0.147251708984375,-0.858012667608261,-0.6222577461019158,1.6500141091704368
1682097022062381000,0.167381103515625,-2.303198031672835,-1.0482014774650334,0.21278759515583515
1682097022082510000,0.187510009765625,-3.7728129035949705,-1.2451029367029667,-2.0490344700336456
1682097022102638800,0.207638916015625,-3.4754280398666855,-1.26456751562953,-1.9683599278628825
1682097022122768000,0.227767822265625,-2.1484306638091804,-1.3966019504204392,-0.12779343622028827
1682097022142897000,0.24789697265625,-1.6647428917467593,-1.1907479539200663,0.6751788966894149
1682097022163026000,0.26802587890625,-0.9232102391839027,-1.2988859648168085,0.13612462671399117
1682097022183155000,0.288155029296875,0.3317933292865753,-1.5741688868522643,-0.17922493277192114
1682097022203284000,0.308283935546875,1.447662567833066,-1.6488260684296487,0.19263269587755202
1682097022223412000,0.328411865234375,1.306662444037199,-0.9272177212595939,1.2563713496923445
1682097022243541000,0.348541015625,0.5946551611661911,-0.7883806207165122,0.7968763541221618
1682097022263670000,0.368669921875,0.4757335981875658,-1.2725950470015406,0.7472264802902937
1682097022283799000,0.388799072265625,1.771123537582159,-0.43210313077569007,0.7723872250318526
1682097022303927800,0.408927734375,1.299717154943943,0.5571542825505137,1.5183558142155409
1682097022324056800,0.429056884765625,0.5195248091191053,0.7899322340726852,1.1681266645282506
1682097022344185900,0.449185791015625,1.3462310688376427,0.7669938415557146,0.9212667039006948
1682097022364315100,0.469315185546875,3.294232099282741,2.067529327145219,0.8328244503378868
1682097022384444000,0.48944384765625,5.264814963892102,3.206521374864876,2.0669401290804146
1682097022404572000,0.509572021484375,3.1733547260612247,2.1787644272744653,0.05186228918433189
1682097022424701000,0.529700927734375,-0.5760252794981002,2.271935462924838,-1.824263007095456
1682097022444830000,0.549829833984375,-0.0216784555837512,3.9926922105774283,-1.481219384998083
1682097022464959000,0.569958984375,1.4505208798736333,4.4096877885922785,-1.6659850007623433
1682097022485087700,0.590087646484375,1.7370003187060354,5.563214557620882,-3.0642987235367296
1682097022505216800,0.610216796875,1.189862695518136,7.003117012846469,-3.630991526544094
1682097022525346000,0.630345947265625,-0.3914844124004245,6.415897554638981,-4.325162708473205
1682097022545475000,0.65047509765625,-1.6093215949065982,4.549168447735905,-5.144646615722775
1682097022565604000,0.67060400390625,-1.7933559737868605,2.655150936412811,-3.3717081376731395
1682097022585732900,0.69073291015625,-1.3511176718354225,0.8949462677299976,-2.0030583162784574
1682097022605862000,0.71086181640625,-0.6113320090703666,-0.6454957060873509,-0.32248072654008864
1682097022625990000,0.730989990234375,0.36414676201120016,-1.646490611219406,1.2296557767242193
1682097022646119000,0.751118896484375,0.771917707823962,-2.2355367003321645,1.3028700660169124
1682097022666248000,0.771248046875,0.5376723140977323,-2.7002982381284237,0.20078443815112113
1682097022686377000,0.791376953125,0.2441741556096822,-2.2692957620710135,0.23276538430154323
1682097022706506000,0.811506103515625,0.4955705175578594,-0.9638684127867221,0.8265344102829695
1682097022726635000,0.831635009765625,0.27365451711602506,-0.4559826035350561,1.5048948596179483
1682097022746764000,0.851763916015625,0.25699330517239866,-0.13870996703207492,0.5922329024553299
1682097022766892800,0.871892822265625,-0.27331480030026284,-0.025043255841732025,-0.47686289447844027
1682097022787021800,0.892021728515625,-1.1023246242534368,0.1311731417864561,-2.854598573002219
1682097022807150800,0.91215087890625,-1.6358698484838008,0.4683908342093229,-3.797903505709767
1682097022827278800,0.93227880859375,-1.2664631201177834,0.9765969614565372,-4.666602402505278
1682097022847408000,0.952408203125,-1.0295195733487605,0.9762263745784759,-6.048766369989514
1682097022867537000,0.972536865234375,-0.8642664673060179,0.625741204303503,-6.829967600595951
1682097022887666000,0.992666015625,-1.5284814869105814,0.673466832074523,-6.318252588444948
1682097022907795000,1.012794921875,-3.2008430369675156,0.8928384817957877,-5.929129352217912
1682097022927924000,1.032924072265625,-4.8717877059638495,-0.7090162843614817,-5.034930103462934
1682097022948053000,1.053052978515625,-4.875556703108549,-2.8282991796195507,-3.2230051844149825
1682097022968181800,1.073181640625,-3.797584941279888,-5.568906047260761,-0.14231120639443395
1682097022988311000,1.09331103515625,-3.028318478617072,-8.189239352792502,0.6534715072721242
1682097023008440000,1.113440185546875,-4.213649375924468,-10.211268911522627,0.6738403415620327
1682097023028569000,1.133569091796875,-4.084212264150381,-10.40468369768858,1.5184417389333247
1682097023048697000,1.153697021484375,-2.7018735246211287,-8.837178944900632,1.7150024219095705
1682097023068825900,1.173825927734375,-2.5701158609449863,-9.079080990859866,0.5888917753338814
1682097023088955000,1.193954833984375,-2.519203419831395,-8.305558039796352,-1.7956319558948277
1682097023109084000,1.214083984375,-2.3040425196729597,-7.181904723244905,-1.7340139963716268
1682097023129213000,1.234212890625,-1.8411447299219668,-5.096303148314356,-0.5411451047748327
1682097023149341700,1.254341796875,-1.4758521588765083,-3.7103368659377094,-1.1089882468611
1682097023169471000,1.274470947265625,-1.2092916186094282,-0.8741782049894332,-4.288531890690327
